Name,Description,Address,Working hours,Rating,Amount of reviews,Latitude,Longitude,2GIS URL,Additional information
Ас-Қазан,лагман-центр,"проспект Гагарина, 242",Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,4.0,418,43.211248,76.898799,https://2gis.com/firm/70000001041279710,"Лагманные ​Узбекская кухня ​Восточная кухня ​Уйгурская кухня ​Европейская кухня ​Казахская кухня ​Завтрак ​Заказ столиков ​Заказ навынос ​Постное меню ​Поминальные обеды ​Летняя терраса ​Топчан ​Проведение банкетов ​Можно с ноутбуком ​Средний чек 3000 тнг. ​До 1000 мест ​Пицца ​Чебуреки ​Блины ​Пельмени ​Манты ​Самса ​Картофель-фри ​Лагман ​Салаты ​Супы ​Плов ​Кофе с собой ​Чай с собой ​Оплата картой ​Наличный расчёт ​Перевод с карты ​Оплата по QR-коду ​Это моя компания ​Реклама в 2ГИС ↗ ​Проспект Гагарина, 242 ​5 филиалов ​Это моя компания ​Реклама в 2ГИС ↗"
Қанағат,столовая,"проспект Жибек Жолы, 55а",Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,4.8,4,43.264373,76.953441,https://2gis.com/firm/70000001059782468,"Средний чек 1000 тнг. ​До 10 мест ​Наличный расчёт ​Перевод с карты ​Это моя компания ​Реклама в 2ГИС ↗ ​ТД Мегатау ​Проспект Жибек Жолы, 55а ​1 этаж ​ ​Это моя компания ​Реклама в 2ГИС ↗"
NOVA,ресторан,"проспект Аль-Фараби, 45",Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,4.4,81,43.224996,76.938049,https://2gis.com/firm/70000001040852419,"Стейк-хаус ​Итальянская кухня ​Европейская кухня ​Авторская кухня ​Завтрак ​Заказ столиков ​Заказ навынос ​Винная карта ​Живая музыка ​Спортивные трансляции ​VIP-зал ​Летняя терраса ​Кабинки ​Проведение банкетов ​Средний чек 10000 тнг. ​До 70 мест ​Лапша wok ​Паста ​Стейки ​Супы ​Блюда на гриле ​Колбаски ​Жареная рыба ​Устрицы ​Шашлык ​Бургеры ​Доставка wok ​Десерты ​Паста ​Горячие вторые блюда ​Салаты ​Супы ​Оплата картой ​Наличный расчёт ​Рестораны ​Доставка готовых блюд ​Караоке-залы ​Банкетные залы ​Это моя компания ​Реклама в 2ГИС ↗ ​Проспект Аль-Фараби, 45 ​1 этаж ​ ​Это моя компания ​Реклама в 2ГИС ↗"
Burger King,кафе быстрого питания,"проспект Сейфуллина, 483",Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,4.1,339,43.263793,76.929378,https://2gis.com/firm/70000001017433545,"Бургерные ​Заказ навынос ​Средний чек 1700 тнг. ​Бургеры ​Картофель-фри ​Кофе с собой ​Чай с собой ​Wi-Fi ​Туалет ​Оплата картой ​Наличный расчёт ​Оплата по QR-коду ​Быстрое питание ​Доставка готовых блюд ​150 мест ​Платная ​40 мест ​Платная ​42 места ​Платная ​10 мест ​Бесплатная ​Это моя компания ​Реклама в 2ГИС ↗ ​ТРК MEGA Park ​Проспект Сейфуллина, 483 ​3 этаж ​16 филиалов ​Это моя компания ​Реклама в 2ГИС ↗"
Лагманхана №1,кафе-столовая,"проспект Рыскулова, 149",Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,3.8,531,43.250145,76.837526,https://2gis.com/firm/70000001030960338,"Лагманные ​Китайская кухня ​Восточная кухня ​Кавказская кухня ​Уйгурская кухня ​Европейская кухня ​Казахская кухня ​Завтрак ​Заказ столиков ​Заказ навынос ​Детское меню ​Постное меню ​Летняя терраса ​Средний чек 1500 тнг. ​До 200 мест ​Шашлык ​Лагман ​Плов ​Оплата картой ​Наличный расчёт ​Это моя компания ​Реклама в 2ГИС ↗ ​Проспект Рыскулова, 149 ​1 этаж ​4 филиала ​Это моя компания ​Реклама в 2ГИС ↗"
SALAM BRO,сеть кафе и киосков быстрого питания,"проспект Жибек Жолы, 106",Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,4.1,666,43.261627,76.941424,https://2gis.com/firm/70000001044217224,"Оплата картой ​Наличный расчёт ​Это моя компания ​Реклама в 2ГИС ↗ ​Проспект Жибек Жолы, 106 ​57 филиалов ​Это моя компания ​Реклама в 2ГИС ↗"
Dushes,ресторан,"проспект Аль-Фараби, 21 блок 1",Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,3.8,49,43.228675,76.941807,https://2gis.com/firm/70000001020886257,"Винный ресторан ​Итальянская кухня ​Европейская кухня ​Вегетарианская кухня ​Бизнес-ланч ​Завтрак ​Заказ столиков ​Заказ навынос ​Винная карта ​Детское меню ​Живая музыка ​Поминальные обеды ​Летняя терраса ​Проведение банкетов ​Средний чек 12000 тнг. ​Бизнес-ланч от 4300 тнг. ​Завтрак 10:00-13:00 ​Ланч 12:00-15:00 ​До 50 мест ​Пицца ​Бургеры ​Блины ​Паста ​Стейки ​Супы ​Блюда на гриле ​Устрицы ​Кофе с собой ​Глинтвейн ​Оплата картой ​Наличный расчёт ​Оплата по QR-коду ​Это моя компания ​Реклама в 2ГИС ↗ ​ЖК AFD Plaza ​Проспект Аль-Фараби, 21 блок 1 ​1 этаж ​ ​Это моя компания ​Реклама в 2ГИС ↗"
BigChefs,ресторан,"микрорайон Самал-2, 111",Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,3.3,272,43.23363,76.95743,https://2gis.com/firm/70000001038750550,"Стейк-хаус ​Восточная кухня ​Турецкая кухня ​Европейская кухня ​Завтрак ​Заказ столиков ​Заказ навынос ​Винная карта ​Детское меню ​Летняя терраса ​Средний чек 5000 тнг. ​Завтрак 09:00-00:00 ​До 100 мест ​Пицца ​Бургеры ​Блины ​Паста ​Стейки ​Блюда на гриле ​Пицца ​Бургеры ​Рационы питания ​Десерты ​Паста ​Горячие вторые блюда ​Салаты ​Супы ​Wi-Fi ​Туалет ​Оплата картой ​Наличный расчёт ​Оплата по QR-коду ​Нет двери / есть автоматическая дверь ​Доступный вход для людей с инвалидностью ​Рестораны ​Бары ​Доставка готовых блюд ​20 мест ​Бесплатная ​500 мест ​Платная ​8 мест ​Бесплатная ​50 мест ​Бесплатная ​Это моя компания ​Реклама в 2ГИС ↗ ​ТРЦ DOSTYK PLAZA ​Микрорайон Самал-2, 111 ​2 этаж ​2 филиала ​Это моя компания ​Реклама в 2ГИС ↗"
Realfish,кафе,"улица Кунаева, 41",Пн: 10:00-03:00; Вт: 10:00-03:00; Ср: 10:00-03:00; Чт: 10:00-03:00; Пт: 10:00-03:00; Сб: 10:00-03:00; Вс: 10:00-03:00,3.6,74,43.263777,76.948775,https://2gis.com/firm/70000001040731178,"Рыбные заведения ​Турецкая кухня ​Европейская кухня ​Рыбная кухня ​Бизнес-ланч ​Завтрак ​Заказ навынос ​Живая музыка ​Поминальные обеды ​VIP-зал ​Летняя терраса ​Столики на улице ​Детский уголок ​Детская комната ​Танцпол ​Кабинки ​Проведение банкетов ​Можно с ноутбуком ​Шведский стол ​Английский завтрак ​Турецкий завтрак ​Средний чек 5000 тнг. ​Бизнес-ланч от 2000 тнг. ​Ланч 12:00-16:00 ​До 90 мест ​Пицца ​Шашлык ​Бургеры ​Пироги ​Блины ​Рамен ​Паста ​Манты ​Стейки ​Том-Ям ​Люля-кебаб ​Самса ​Картофель-фри ​Салаты ​Закрытая пицца ​Супы ​Блюда на гриле ​Куриные крылышки ​Наггетсы ​Плов ​Колбаски ​Мидии ​Жареная рыба ​Кофе с собой ​Bubble Tea ​Глинтвейн ​Чай с собой ​Смузи ​Wi-Fi ​Туалет ​Оплата картой ​Наличный расчёт ​Оплата через банк ​Перевод с карты ​Оплата по QR-коду ​Рыба / Морепродукты ​Кафе ​Рестораны ​Это моя компания ​Реклама в 2ГИС ↗ ​Улица Кунаева, 41 ​ ​Это моя компания ​Реклама в 2ГИС ↗"
SALAM BRO,сеть кафе и киосков быстрого питания,"улица Розыбакиева, 136/1",Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,4.0,613,43.235876,76.890337,https://2gis.com/firm/70000001046133367,"Бургерные ​Заказ навынос ​Бургеры ​Картофель-фри ​Оплата картой ​Наличный расчёт ​Это моя компания ​Реклама в 2ГИС ↗ ​Улица Розыбакиева, 136/1 ​57 филиалов ​Это моя компания ​Реклама в 2ГИС ↗"
Astoria,банкетный зал,"улица Ришата и Муслима Абдуллиных, 55",Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,4.1,18,43.256746,76.95989,https://2gis.com/firm/70000001060864245,"Восточная кухня ​Азиатская кухня ​Европейская кухня ​Заказ навынос ​Детское меню ​Живая музыка ​Поминальные обеды ​VIP-зал ​Детский уголок ​Кабинки ​Аниматоры, мастер-классы для детей ​Оплата картой ​Наличный расчёт ​Оплата через банк ​Перевод с карты ​Оплата по QR-коду ​Оплата эл. кошельком ​Пандус ​Доступный вход для людей с инвалидностью ​Банкетные залы ​Караоке-залы ​Рестораны ​Доставка готовых блюд ​Это моя компания ​Реклама в 2ГИС ↗ ​Улица Ришата и Муслима Абдуллиных, 55 ​ ​Это моя компания ​Реклама в 2ГИС ↗"
Rass-Al,зал торжеств,"микрорайон Мамыр-4, 102/1",Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,3.6,37,43.219024,76.850249,https://2gis.com/firm/9429940001449735,"Восточная кухня ​Европейская кухня ​Казахская кухня ​Бизнес-ланч ​Завтрак ​Заказ столиков ​Заказ навынос ​Детское меню ​Постное меню ​Спортивные трансляции ​Поминальные обеды ​Летняя терраса ​Проведение банкетов ​Можно с ноутбуком ​Английский завтрак ​Средний чек 10000 тнг. ​Бизнес-ланч от 2000 тнг. ​Завтрак 10:00-12:00 ​Ланч 12:00-15:00 ​До 72 мест ​Пицца ​Блины ​Паста ​Манты ​Стейки ​Wi-Fi ​Туалет ​Оплата картой ​Наличный расчёт ​Оплата через банк ​Перевод с карты ​Оплата по QR-коду ​Банкетные залы ​Рестораны ​Караоке-залы ​Это моя компания ​Реклама в 2ГИС ↗ ​Микрорайон Мамыр-4, 102/1 ​ ​Это моя компания ​Реклама в 2ГИС ↗"
Vinoli Wine Enthusiasts,винный ресто-бар,"улица Курмангазы, 54",Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-01:00,3.7,35,43.244414,76.945342,https://2gis.com/firm/70000001054580911,"Винный бар ​Европейская кухня ​Авторская кухня ​Завтрак ​Заказ столиков ​Заказ навынос ​Винная карта ​Меню на английском ​Летняя терраса ​Проведение банкетов ​Средний чек 8000 тнг. ​До 30 мест ​Бургеры ​Паста ​Стейки ​Том-Ям ​Блюда на гриле ​Кофе с собой ​Чай с собой ​Wi-Fi ​Туалет ​Оплата картой ​Наличный расчёт ​Оплата по QR-коду ​Бары ​Рестораны ​Это моя компания ​Реклама в 2ГИС ↗ ​Улица Курмангазы, 54 ​1 этаж ​ ​Это моя компания ​Реклама в 2ГИС ↗"
Tens Korean restaurant,,"улица Жандосова, 89а",Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-01:00,4.7,22,43.203268,76.851968,https://2gis.com/firm/70000001071752358,"Корейская кухня ​Европейская кухня ​Заказ навынос ​Детское меню ​VIP-зал ​Детский уголок ​Кабинки ​Проведение банкетов ​Средний чек 6000 тнг. ​До 110 мест ​Пицца ​Пельмени ​Рамен ​Манты ​Картофель-фри ​Салаты ​Супы ​Блюда на гриле ​Наггетсы ​Кукси ​Жареная рыба ​Оплата картой ​Наличный расчёт ​Перевод с карты ​Оплата по QR-коду ​Рестораны ​Доставка готовых блюд ​Это моя компания ​Реклама в 2ГИС ↗ ​Улица Жандосова, 89а ​ ​Это моя компания ​Реклама в 2ГИС ↗"
